frame num,person id,bb_xmin,bb_ymin,bb_height,bb_width,age_min,age_max,age_actual,gender
188,176,474,128,62,80,26,27,28,M
188,177,879,540,50,155,27,29,29,M
188,168,407,77,51,61,39,44,42,M
189,172,342,11,54,67,26,28,28,M
189,170,583,2,34,48,39,42,41,M
189,176,452,146,56,72,26,27,28,F
189,168,404,75,53,63,53,62,58,M
190,172,340,11,55,67,29,32,32,M
190,170,582,2,33,45,41,45,44,M
190,176,448,151,55,70,27,28,28,F
190,168,401,70,49,59,48,53,52,M
190,182,285,475,131,127,39,44,42,M
190,175,391,143,68,73,25,27,27,F
191,172,340,11,54,68,30,33,32,M
191,170,582,2,33,46,38,41,40,M
191,176,448,153,54,69,27,29,29,F
191,168,399,68,48,58,38,42,40,M
191,182,287,472,129,126,39,44,42,M
191,175,384,143,69,74,27,28,28,M
192,172,341,7,53,67,23,25,26,M
192,170,582,2,32,45,37,40,40,M
192,176,445,166,55,70,28,30,30,F
192,168,384,69,52,63,45,51,49,M
192,182,279,449,138,134,36,39,39,M
192,175,366,147,66,72,26,27,28,M
193,172,337,6,52,64,26,27,28,M
193,170,584,3,32,45,37,40,40,M
193,176,435,174,55,70,25,26,26,F
